TimeStamp,Value
20211009044006,58.9616298676
TimeStamp,Value
20211009045233,69.4577813148
20211009045234,69.8871135712
20211009045235,68.6849832535
20211009045236,69.4904923439
20211009045237,70.3164458275
20211009045238,66.5792107582
20211009045239,5.0088763237
20211009045240,70.6762671471
20211009045241,66.9880986214
20211009045242,71.1587548256
20211009045243,67.8140521049
20211009045244,66.5955662727
20211009045245,69.0448045731
20211009045246,66.6119217873
20211009045247,68.668627739
20211009045248,69.5068478584
20211009045249,69.0979599953
20211009045250,69.0979599953
20211009045251,70.3491568565
20211009045252,68.2556509972
20211009045253,68.2229399681
20211009045254,67.0044541359
20211009045255,67.0208096504
20211009045256,69.0816044807
20211009045257,67.4664974213
20211009045258,67.846763134
20211009045259,69.5436477661
20211009045300,68.668627739
20211009045301,68.6522722244
20211009045302,68.2392954826
20211009045303,68.6890721321
20211009045304,69.1143155098
20211009045305,67.4337863922
20211009045306,70.3123569489
20211009045307,69.4577813148
20211009045308,68.6359167099
20211009045309,69.0775156021
20211009045310,69.9402689934
20211009045311,69.0611600876
20211009045312,66.9717431068
20211009045313,69.0979599953
20211009045314,68.668627739
20211009045315,90.9979939461
20211009045316,67.4501419067
20211009045317,66.1825895309
20211009045318,66.5628552437
20211009045319,67.3969864845
20211009045320,67.0044541359
20211009045321,67.4501419067
20211009045322,68.2229399681
20211009045323,67.4337863922
20211009045324,67.8631186485
20211009045325,69.0979599953
20211009045326,67.3847198486
20211009045327,68.668627739
20211009045328,68.2392954826
20211009045329,69.4945812225
20211009045330,69.1143155098
20211009045331,66.9553875923
20211009045332,67.4337863922
20211009045333,69.134759903
20211009045334,69.9034690857
20211009045335,69.9525356293
20211009045336,69.9361801147
20211009045337,69.0816044807
20211009045338,69.9729800224
20211009045339,67.8099632263
20211009045340,67.4010753632
20211009045341,70.332801342
20211009045342,69.5600032806
20211009045343,67.0576095581
20211009045344,65.360724926
20211009045345,69.523203373
20211009045346,69.5436477661
20211009045347,67.846763134
20211009045348,66.6609883308
20211009045349,68.2760953903
20211009045350,67.4010753632
20211009045351,69.5600032806
20211009045352,67.8263187408
20211009045353,69.134759903
20211009045354,70.7948446274
20211009045355,68.2392954826
20211009045356,69.0816044807
